,aa,aa@nn.com,26245,hhh,10001
mhiwy,aa,aa@nn.com,26245,hhh,20005
ttttttttttt,aa,aa@nn.com,26245,hhh,10001
hello,,aa@nn.com,26245,hhh,10001
hello,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,aa@nn.com,26245,hhh,10001
hello,world,fwogowgowgvogowbvgowjvowgguo@ww.com,26245,hhh,10001
hello,world,fbiwow,26245,hhh,10001
hello,world,hhhhh@qq.com,2624574228525252552594,hhh,10001
hello,world,hhhhh@qq.com,fjaj78,hhh,10001
hello,world,hhhhh@qq.com,15801736266,,10001
hello,world,hhhhh@qq.com,15801736266,hhhvowgowgowwg,10001
hello,world,hhhhh@qq.com,15801736266,software,0
helloo,world,,15801736266,software,20005
hellooo,world,hhhhh@qq.com,,software,20005
